id,Calendar_age,Calendar_age_error,Reservoir_Min_Range_at_95.0%,Reservoir_Max_Range_at_95.0%,Mode,MidRange,Median
KNR195-5-GGC43,4667.0,58.0,-16.0,571.0,484.0,278.0,484.0
KNR195-5-GGC43,6278.0,36.0,142.0,703.0,634.0,422.0,596.0
KNR195-5-GGC43,8327.0,52.0,-92.0,663.0,567.0,286.0,547.0
KNR195-5-GGC43,9311.0,49.0,-122.0,609.0,491.0,244.0,498.0
KNR195-5-GGC43,11116.0,34.0,-5.0,599.0,501.0,297.0,503.0
KNR195-5-GGC43,12533.0,69.0,-233.0,827.0,644.0,297.0,651.0
TTN013-18,17753.5,603.0,-2570.0,1483.0,835.0,-544.0,763.0
TTN013-18,22189.5,506.0,-2128.0,1477.0,1257.0,-326.0,865.0
TTN013-18,24685.5,377.0,-1952.0,1365.0,860.0,-294.0,856.0
TTN013-18,26061.5,327.0,-1887.0,1543.0,681.0,-172.0,760.0
TTN013-18,27362.5,329.0,-1719.0,1875.0,971.0,78.0,1088.0
TTN013-18,28556.5,526.0,-6204.666669999999,-1173.6666699999987,-1835.6666699999987,-3689.0,-2003.6666699999987
TTN013-18,30101.5,686.0,-7835.666669999999,-2238.6666699999987,-3744.6666699999987,-5037.0,-3435.6666699999987
TTN013-18,31790.0,466.0,-2423.0,1738.0,362.0,-342.0,615.0
TT154-10,14363.0,251.0,-1112.0,811.0,405.0,-150.0,425.0
TT154-10,18520.0,232.0,-1492.0,1363.0,829.0,-64.0,822.0
TT154-10,19101.0,273.0,-1632.0,1371.0,696.0,-130.0,727.0
TT154-10,20078.0,439.0,-2874.0,1594.0,765.0,-640.0,752.0
TT154-10,23263.0,228.0,-1440.0,1304.0,732.0,-68.0,755.0
TT154-10,7013.0,120.0,-656.0,815.0,577.0,80.0,577.0
V28-238,7542.0,148.0,-1074.5,983.5,586.5,-46.0,581.5
V28-238,8885.0,139.0,-725.0,697.0,511.0,-14.0,492.0
