id,UncalibratedMinRange_at_95.0%,UncalibratedMaxRange_at_95.0%,Mode,MidRange,Median
KNR195-5-CDH41,16404.0,17594.0,17526.0,16999.0,17430.0
KNR195-5-CDH41,17314.0,18080.0,17871.0,17697.0,17887.0
KNR195-5-CDH41,17784.0,19143.0,18792.0,18464.0,18800.0
KNR195-5-CDH41,18476.0,19635.0,19529.0,19056.0,19497.0
KNR195-5-CDH41,18989.0,20066.0,19982.0,19528.0,19889.0
KNR195-5-CDH41,17714.0,21979.0,21109.0,19846.0,20921.0
KNR195-5-CDH41,18399.0,22898.0,21978.0,20648.0,21994.0
KNR195-5-CDH41,19804.0,24102.0,23277.0,21953.0,23112.0
KNR195-5-CDH41,20653.0,24087.0,23285.0,22370.0,23300.0
KNR195-5-CDH41,21391.0,25316.0,24691.0,23354.0,24586.0
KNR195-5-CDH41,23713.0,25847.0,25284.0,24780.0,25300.0
KNR195-5-GGC43,1109.0,1605.0,1593.0,1357.0,1512.0
KNR195-5-GGC43,3796.0,4192.0,4144.0,3994.0,4144.0
KNR195-5-GGC43,5162.0,5592.0,5400.0,5377.0,5445.0
KNR195-5-GGC43,7126.0,7641.0,7444.0,7384.0,7472.0
KNR195-5-GGC43,8006.0,8368.0,8316.0,8187.0,8303.0
KNR195-5-GGC43,9384.0,9702.0,9650.0,9543.0,9646.0
KNR195-5-GGC43,10201.0,10602.0,10482.0,10402.0,10498.0
TTN013-18,12154.0,15465.0,14463.0,13810.0,14520.0
TTN013-18,15779.0,19204.0,18776.0,17492.0,18256.0
TTN013-18,18288.0,21060.0,20579.0,19674.0,20526.0
TTN013-18,19823.0,22447.0,21972.0,21135.0,21920.0
TTN013-18,20882.0,23927.0,23275.0,22404.0,23192.0
TTN013-18,20901.0,25273.0,24135.0,23087.0,24285.0
TTN013-18,21541.0,27420.0,25292.0,24480.0,25987.0
TTN013-18,24513.0,28503.0,28364.0,26508.0,27945.0
TT154-10,10887.0,12496.0,12401.0,11692.0,12378.0
TT154-10,13889.0,15666.0,15216.0,14778.0,15206.0
TT154-10,14216.0,16232.0,15974.0,15224.0,15845.0
TT154-10,14238.0,17221.0,16368.0,15730.0,16626.0
TT154-10,17777.0,19604.0,19361.0,18690.0,19363.0
TT154-10,5439.0,6300.0,6178.0,5870.0,6146.0
V28-238,5763.0,6964.0,6599.0,6364.0,6651.0
V28-238,7184.0,8199.0,7972.0,7692.0,7976.0
V28-238,7932.0,9667.0,9585.0,8800.0,9440.0
V28-238,9094.0,12430.0,12028.0,10762.0,11805.0
V28-238,15635.0,18590.0,17811.0,17112.0,17839.0
V28-238,17569.0,19587.0,19341.0,18578.0,19290.0
V28-238,14229.0,23233.0,21112.0,18731.0,21028.0
KNR110-50,11861.0,13824.0,13391.0,12842.0,13409.0
KNR110-50,14870.0,16392.0,16002.0,15631.0,16067.0
KNR110-50,15882.0,16867.0,16687.0,16374.0,16683.0
KNR110-50,16197.0,17886.0,17566.0,17042.0,17619.0
KNR110-50,16970.0,18809.0,18259.0,17890.0,18318.0
KNR110-66,14821.0,15993.0,15792.0,15407.0,15810.0
KNR110-66,15174.0,16425.0,16358.0,15800.0,16213.0
KNR110-66,16387.0,17581.0,17512.0,16984.0,17383.0
KNR110-66,17351.0,18295.0,17976.0,17823.0,18042.0
KNR110-82a,12646.0,13490.0,13373.0,13068.0,13342.0
KNR110-82a,13652.0,14481.0,14429.0,14066.0,14302.0
KNR110-82a,14214.0,15407.0,15215.0,14810.0,15189.0
KNR110-82a,14415.0,16736.0,16364.0,15576.0,16367.0
KNR110-82a,15694.0,17191.0,16831.0,16442.0,16870.0
V28-122,15601.0,16464.0,16360.0,16032.0,16345.0
V28-122,15819.0,17045.0,16720.0,16432.0,16746.0
V28-122,14907.0,17987.0,17562.0,16447.0,17547.0
50-37KL,862.0,1474.0,1284.0,1168.0,1283.0
50-37KL,4569.0,5343.0,5313.0,4956.0,5231.0
50-37KL,6893.0,7994.0,7926.0,7444.0,7891.0
50-37KL,9247.0,10064.0,10021.0,9656.0,9971.0
50-37KL,10676.0,12346.0,12030.0,11511.0,12045.0
50-37KL,13271.0,14471.0,14153.0,13871.0,14176.0
50-37KL,14114.0,15239.0,14722.0,14676.0,14793.0
50-37KL,14157.0,15272.0,15220.0,14714.0,15078.0
50-37KL,15345.0,16752.0,16562.0,16048.0,16522.0
50-37KL,15438.0,17050.0,16687.0,16244.0,16687.0
MD97-2138,16579.0,17894.0,17801.0,17236.0,17742.0
MD97-2138,16737.0,18264.0,17823.0,17500.0,17902.0
MD98-2181,14457.0,15879.0,15744.0,15168.0,15606.0
MD98-2181,14562.0,16029.0,15790.0,15296.0,15827.0
MD98-2181,14853.0,16406.0,16002.0,15630.0,16079.0
RC11-238,14870.0,16204.0,15987.0,15537.0,15989.0
RC11-238,16203.0,17586.0,17526.0,16894.0,17349.0
V19-27,14132.0,15078.0,14710.0,14605.0,14725.0
V19-27,16499.0,17747.0,17557.0,17123.0,17544.0
V21-40,13800.0,14709.0,14476.0,14254.0,14523.0
V21-40,15714.0,17803.0,17554.0,16758.0,17469.0
MD01-2386,246.0,1071.0,948.0,658.0,931.0
MD01-2386,3802.0,4517.0,4379.0,4160.0,4406.0
MD01-2386,8085.0,8941.0,8884.0,8513.0,8862.0
MD01-2386,8813.0,9656.0,9590.0,9234.0,9579.0
MD01-2386,9958.0,10447.0,10372.0,10202.0,10380.0
MD01-2386,10235.0,11055.0,10912.0,10645.0,10937.0
MD01-2386,11155.0,12206.0,12025.0,11680.0,12020.0
MD01-2386,10951.0,12393.0,12029.0,11672.0,12139.0
MD01-2386,12088.0,12945.0,12739.0,12516.0,12742.0
MD01-2386,12675.0,13634.0,13405.0,13154.0,13436.0
MD01-2386,12817.0,13705.0,13596.0,13261.0,13551.0
MD01-2386,13417.0,14277.0,14151.0,13847.0,14119.0
MD01-2386,13450.0,14429.0,14156.0,13940.0,14165.0
MD01-2386,13828.0,15196.0,14703.0,14512.0,14708.0
MD01-2386,14499.0,15637.0,15395.0,15068.0,15341.0
MD01-2386,14861.0,16090.0,15977.0,15476.0,15955.0
RC24-8GC,2927.0,3317.0,3203.0,3122.0,3224.0
RC24-8GC,8708.0,9240.0,9192.0,8974.0,9180.0
RC24-8GC,10415.0,10951.0,10909.0,10683.0,10900.0
RC24-8GC,11255.0,11866.0,11827.0,11560.0,11772.0
RC24-8GC,12427.0,12982.0,12900.0,12704.0,12898.0
RC24-8GC,12652.0,13221.0,13101.0,12936.0,13108.0
RC24-8GC,13158.0,13820.0,13687.0,13489.0,13697.0
RC24-8GC,14811.0,15948.0,15777.0,15380.0,15763.0
Nesmeyanov25-1-GGC15,3815.0,4195.0,4149.0,4005.0,4150.0
Nesmeyanov25-1-GGC15,8938.0,9608.0,9430.0,9273.0,9479.0
Nesmeyanov25-1-GGC15,13023.0,13667.0,13572.0,13345.0,13551.0
Nesmeyanov25-1-GGC18,9277.0,9705.0,9561.0,9491.0,9595.0
Nesmeyanov25-1-GGC18,11465.0,12301.0,12035.0,11883.0,12106.0
Nesmeyanov25-1-GGC20,9397.0,9929.0,9795.0,9663.0,9769.0
