id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage
KNR195-5-GGC43,1381.0,52.0,1990.0,50.0,1498.0,1478.0,1583.0,1512.0,1593.0,484.0,528.0,507.0,474.0,469.0
KNR195-5-GGC43,4667.0,58.0,4630.0,40.0,4143.0,4152.0,4120.0,4144.0,4144.0,486.0,478.0,510.0,484.0,484.0
KNR195-5-GGC43,6278.0,36.0,6050.0,35.0,5481.0,5480.0,5468.0,5445.0,5400.0,574.0,576.0,531.0,596.0,634.0
KNR195-5-GGC43,8327.0,52.0,8030.0,50.0,7519.0,7552.0,7455.0,7472.0,7444.0,522.0,496.0,399.0,547.0,567.0
KNR195-5-GGC43,9311.0,49.0,8800.0,40.0,8290.0,8406.0,8415.0,8303.0,8316.0,506.0,404.0,328.0,498.0,491.0
KNR195-5-GGC43,11116.0,34.0,10150.0,35.0,9628.0,9722.0,9761.0,9646.0,9650.0,510.0,445.0,389.0,503.0,501.0
KNR195-5-GGC43,12533.0,69.0,11150.0,70.0,10478.0,10668.0,10785.0,10498.0,10482.0,660.0,538.0,464.0,651.0,644.0
TTN013-18,17753.5,603.0,15300.0,55.0,14558.0,14968.0,15253.0,14520.0,14463.0,-432.0,345.0,67.0,763.0,835.0
TTN013-18,22189.5,506.0,19125.0,75.0,18221.0,18462.0,19151.0,18256.0,18776.0,-137.0,685.0,304.0,865.0,1257.0
TTN013-18,24685.5,377.0,21375.0,140.0,20470.0,20663.0,20731.0,20526.0,20579.0,826.0,702.0,706.0,856.0,860.0
TTN013-18,26061.5,327.0,22650.0,120.0,21635.0,22059.0,22155.0,21920.0,21972.0,859.0,594.0,592.0,760.0,681.0
TTN013-18,27362.5,329.0,24225.0,180.0,22989.0,23186.0,23602.0,23192.0,23275.0,1088.0,1094.0,850.0,1088.0,971.0
TTN013-18,28556.5,526.0,22333.33333,190.0,23318.0,24538.0,26144.0,24285.0,24135.0,-2105.0,-2118.0,-2363.0,-2003.6666699999987,-1835.6666699999987
TTN013-18,30101.5,686.0,22513.33333,180.0,25772.0,25813.0,26263.0,25987.0,25292.0,-4867.0,-3262.0,-3766.0,-3435.6666699999987,-3744.6666699999987
TTN013-18,31790.0,466.0,28545.0,180.0,26632.0,27586.0,28739.0,27945.0,28364.0,708.0,1020.0,814.0,615.0,362.0
TT154-10,14363.0,251.0,12780.0,160.0,12047.0,12130.0,12503.0,12378.0,12401.0,454.0,675.0,761.0,425.0,405.0
TT154-10,18520.0,232.0,16040.0,225.0,14766.0,15271.0,15189.0,15206.0,15216.0,820.0,753.0,576.0,822.0,829.0
TT154-10,19101.0,273.0,16560.0,240.0,15186.0,15766.0,15730.0,15845.0,15974.0,768.0,847.0,728.0,727.0,696.0
TT154-10,20078.0,439.0,17390.0,370.0,16600.0,16624.0,16949.0,16626.0,16368.0,742.0,882.0,681.0,752.0,765.0
TT154-10,23263.0,228.0,20110.0,220.0,18830.0,19252.0,19375.0,19363.0,19361.0,795.0,821.0,876.0,755.0,732.0
TT154-10,7013.0,120.0,6715.0,110.0,6142.0,6224.0,6344.0,6146.0,6178.0,579.0,508.0,431.0,577.0,577.0
V28-238,7542.0,148.0,7252.5,160.0,6422.0,6760.0,6855.0,6651.0,6599.0,580.0,536.0,473.0,581.5,586.5
V28-238,8885.0,139.0,8485.0,100.0,8056.0,8018.0,8037.0,7976.0,7972.0,466.0,471.0,500.0,492.0,511.0
V28-238,10670.0,281.0,9852.5,220.0,8900.0,9218.0,8978.0,9440.0,9585.0,440.0,534.0,699.0,420.5,404.5
V28-238,13605.0,559.0,12165.0,460.0,10374.0,11562.0,12360.0,11805.0,12028.0,482.0,608.0,579.0,406.0,325.0
V28-238,21688.0,450.0,18700.0,390.0,17156.0,18118.0,18801.0,17839.0,17811.0,794.0,659.0,512.0,828.0,857.0
V28-238,23145.0,283.0,20000.0,260.0,19166.0,19183.0,19339.0,19290.0,19341.0,804.0,830.0,852.0,754.0,692.0
V28-238,25111.0,1282.0,21832.5,1290.0,18786.0,21577.0,22795.0,21028.0,21112.0,700.0,227.0,-510.0,757.5,826.5
KNR110-50,16142.0,375.0,14045.0,295.0,13386.0,13630.0,13783.0,13409.0,13391.0,635.0,566.0,168.0,629.0,626.0
KNR110-50,19433.0,169.0,16853.0,130.0,16152.0,15960.0,15995.0,16067.0,16002.0,728.0,895.0,985.0,760.0,802.0
KNR110-50,20176.0,133.0,17450.0,115.0,16694.0,16748.0,16891.0,16683.0,16687.0,762.0,728.0,706.0,763.0,767.0
KNR110-50,21338.0,262.0,18405.0,205.0,17620.0,17660.0,18149.0,17619.0,17566.0,764.0,725.0,714.0,756.0,753.0
KNR110-50,22278.0,265.0,19195.0,245.0,18358.0,18536.0,18842.0,18318.0,18259.0,828.0,694.0,630.0,842.0,886.0
KNR110-66,19070.0,124.0,16555.0,105.0,15806.0,15732.0,15776.0,15810.0,15792.0,744.0,838.0,798.0,738.0,737.0
KNR110-66,19547.0,145.0,16945.0,115.0,16199.0,16098.0,15984.0,16213.0,16358.0,738.0,812.0,975.0,731.0,697.0
KNR110-66,20933.0,157.0,18100.0,120.0,17346.0,17266.0,17269.0,17383.0,17512.0,746.0,796.0,861.0,730.0,678.0
KNR110-66,22001.0,151.0,18920.0,135.0,18056.0,18246.0,18500.0,18042.0,17976.0,862.0,704.0,654.0,870.0,882.0
KNR110-82a,16044.0,129.0,13970.0,100.0,13338.0,13324.0,13229.0,13342.0,13373.0,631.0,640.0,642.0,629.0,628.0
KNR110-82a,17379.0,106.0,15050.0,75.0,14296.0,14285.0,14405.0,14302.0,14429.0,754.0,794.0,749.0,749.0,689.0
