id,Calendar_age,Calendar_age_error,Reservoir_derived_14C_age,Reservoir_derived_14C_error
145-887,13828,174,12995,30
145-887,16696,215,15010,50
145-887,18421.5,396,16640,45
145-887,18885.5,396,16405,45
145-887,20120,241,17970,70
MD02-2489,11773,90,11080,60
MD02-2489,12740,24,11870,30
MD02-2489,12993,70,12120,70
V34-98,5861,44,6260,40
Site_936,13832,91,13040,70
Site_936,19532,172,17530,140
Site_936,24431,210,21760,170
LV27-2-4,3395,18,4205,15
LV27-2-4,5889,13,6230,15
LV27-2-4,9035,20,9150,15
LV27-2-4,11170,32,10760,35
LV27-2-4,14036,26,13150,25
MD07-3076,29090,200,25407,85
MD07-3076,32259,200,28540,89
MD07-3076,32915,200,28827,91
MD07-3076,34508,200,30195,411
MD07-3076,35382,200,31235,316
MD07-3076,36341,200,31533,394
MD07-3076,36907,200,32447,438
MD07-3076,37332,200,32159,463
MD07-3076,38181,200,34174,758
MD07-3076,38322,200,33429,421
MD07-3076,38747,200,35747,926
MD07-3076,39713,200,35620,916
MD07-3076,40137,200,36236,986
MD07-3076,40654,200,35879,680
MD12-3396Cq,8205,237,7836,70
MD12-3396Cq,11924,292,11116,90
MD12-3396Cq,12902,362,11711,98
MD12-3396Cq,13423,325,12094,97
MD12-3396Cq,14689,282,13328,120
MD12-3396Cq,18352,307,16468,156
MD12-3396Cq,27653,850,25746,317
MD12-3396Cq,34093,500,31549,1151
MD12-3396Cq,947,165,1835,61
MD12-3396Cq,947,165,1835,61
MD12-3396Cq,1825,230,2495,63
MD12-3396Cq,2306,301,2839,62
MD12-3396Cq,2958,217,3434,66
MD12-3396Cq,4159,281,4394,69
MD12-3396Cq,5267,270,4985,70
MD12-3396Cq,6028,271,5814,74
MD12-3396Cq,7275,331,6584,77
MD12-3396Cq,7637,204,7423,82
MD12-3396Cq,7933,205,7487,80
MD12-3396Cq,8270,255,7929,85
MD12-3396Cq,8975,292,8472,91
MD12-3396Cq,9405,340,9085,90
MD12-3396Cq,10254,422,10124,109
MD12-3396Cq,11114,291,10567,102
MD12-3396Cq,11483,253,10921,107
MD12-3396Cq,11750,254,11256,111
MD12-3396Cq,11780,257,11139,107
MD12-3396Cq,12084,330,11069,110
MD12-3396Cq,13005,337,11838,115
MD12-3396Cq,13706,294,12422,60
MD12-3396Cq,14206,303,12833,123
MD12-3396Cq,14299,281,12797,138
MD12-3396Cq,14299,281,12797,138
