,Event,Site,Latitude,Latitude_2,Longitude,Longitude_2,Cal age,Cal age std e,Age dated,Age std e,Res age,Res age e,Reference,Elevation,Date/Time,group
51,NA87-22,NA87-22,55.5,55.5,-14.7,-14.5833,13.423,0.349,11.69,0.12,0.158,0.358,"Waelbroeck et al., 2019",-2161,,Northeast Atlantic
52,RAPiD-10-1P,1P-OS-75783144-145,62.98,62.9755,-17.59,-17.5895,13.43,0.25,12.8,0.06,0.854,0.234,"Thornalley et al., 2010",-1237,,Northeast Atlantic
53,MD95-2007,MD95-2007,57.5,57.5177,-8.4,-8.3862,13.536,0.14,12.353,0.074,0.625,0.164,"Austin et al., 2011",-158,1995/1/1,Northeast Atlantic
54,RAPiD-17-5P,5P-SUERC966-967,61.48,61.466,-19.54,-19.533,13.55,0.3,12.754,0.043,0.925,0.262,"Thornalley et al., 2010",-2303,,Northeast Atlantic
55,RAPiD-15-4P,4P-OS-75507483-484,62.29,62.293,-17.13,-17.134,13.566,0.201,12.1,0.045,1.303,0.197,"Thornalley et al., 2010",-2133,,Northeast Atlantic
56,RAPiD-15-4P,4P-SUERC485-486,62.29,62.293,-17.13,-17.134,13.614,0.101,11.793,0.049,0.891,0.122,"Thornalley et al., 2010",-2133,,Northeast Atlantic
57,MD95-2007,MD95-2007,57.5,57.5177,-8.4,-8.3862,13.74,0.138,12.63,0.1,0.712,0.16,"Austin et al., 2011",-158,1995/1/1,Northeast Atlantic
58,RAPiD-10-1P,1P-OS-75784148-149,62.98,62.9755,-17.59,-17.5895,13.75,0.251,12.9,0.06,0.325,0.238,"Thornalley et al., 2010",-1237,,Northeast Atlantic
59,NA87-22,NA87-22,55.5,55.5,-14.7,-14.5833,13.777,0.328,12.92,0.12,0.896,0.305,"Waelbroeck et al., 2019",-2161,,Northeast Atlantic
60,RAPiD-15-4P,4P-SUERC491-492,62.29,62.293,-17.13,-17.134,13.783,0.101,12.155,0.04,0.122,0.096,"Thornalley et al., 2010",-2133,,Northeast Atlantic
61,94-609,DSDP609,49.88,49.8778,-24.23,-24.2382,13.797,0.324,12.75,0.22,0.752,0.353,"Waelbroeck et al., 2019",-3884,1983/1/1,Northeast Atlantic
62,RAPiD-15-4P,4P-SUERC497-498,62.29,62.293,-17.13,-17.134,13.94,0.101,12.56,0.039,0.502,0.097,"Thornalley et al., 2010",-2133,,Northeast Atlantic
63,RAPiD-15-4P,4P-SUERC500-501,62.29,62.293,-17.13,-17.134,13.97,0.053,12.636,0.043,0.559,0.068,"Thornalley et al., 2010",-2133,,Northeast Atlantic
64,MD95-2007,MD95-2007,57.5,57.5177,-8.4,-8.3862,14.126,0.121,12.79,0.12,0.555,0.159,"Austin et al., 2011",-158,1995/1/1,Northeast Atlantic
65,NA87-22,NA87-22,55.5,55.5,-14.7,-14.5833,14.134,0.261,12.38,0.12,0.067,0.21,"Waelbroeck et al., 2019",-2161,,Northeast Atlantic
66,RAPiD-10-1P,1P-OS-75686154-155,62.98,62.9755,-17.59,-17.5895,14.23,0.201,12.7,0.055,0.484,0.134,"Thornalley et al., 2010",-1237,,Northeast Atlantic
67,RAPiD-15-4P,4P-SUERC507-508,62.29,62.293,-17.13,-17.134,14.263,0.101,12.487,0.043,0.124,0.087,"Thornalley et al., 2010",-2133,,Northeast Atlantic
68,RAPiD-17-5P,5P-OS-79027972-974,61.48,61.466,-19.54,-19.533,14.286,0.251,12.85,0.055,0.455,0.147,"Thornalley et al., 2010",-2303,,Northeast Atlantic
69,MD03-2697,MD03-2697,42.16,42.15,-9.7,-9.7,14.423,0.441,12.52,0.06,0.095,0.277,"Waelbroeck et al., 2019",-2164,,Northeast Atlantic
70,94-609,DSDP609,49.88,49.8778,-24.23,-24.2382,14.428,0.161,13.65,0.09,1.244,0.114,"Waelbroeck et al., 2019",-3884,1983/1/1,Northeast Atlantic
71,94-609,DSDP609,49.88,49.8778,-24.23,-24.2382,14.428,0.161,12.74,0.14,0.337,0.155,"Waelbroeck et al., 2019",-3884,1983/1/1,Northeast Atlantic
72,MD04-2829CQ,MD04-2829,58.9,58.9488,-9.6,-9.5717,14.54,0.2,12.686,0.15,0.253,0.167,this study,-1007,,Northeast Atlantic
73,RAPiD-10-1P,1P-SUERC160-161,62.98,62.9755,-17.59,-17.5895,14.55,0.102,12.914,0.044,1.953,0.062,"Thornalley et al., 2010",-1237,,Northeast Atlantic
74,MD99-2331,MD99-2331,42.15,42.15,-9.68,-9.6833,14.726,0.117,13.64,0.08,1.157,0.098,"Waelbroeck et al., 2019",-2120,1999/1/1,Northeast Atlantic
75,RAPiD-17-5P,5P-OS-79028977-978,61.48,61.466,-19.54,-19.533,14.789,0.251,13.45,0.06,0.96,0.138,"Thornalley et al., 2010",-2303,,Northeast Atlantic
76,MD04-2845,MD04-2845,45.35,45.3477,-5.22,-5.2195,14.815,0.134,13.89,0.1,1.372,0.119,"Waelbroeck et al., 2019",-4175,,Northeast Atlantic
77,RAPiD-15-4P,4P-SUERC515-516,62.29,62.293,-17.13,-17.134,14.822,0.251,14.281,0.044,1.783,0.136,"Thornalley et al., 2010",-2133,,Northeast Atlantic
78,MD95-2002,MD95-2002,47.45,47.452,-8.53,-8.5338,14.838,0.146,13.73,0.13,1.203,0.148,"Waelbroeck et al., 2019",-2174,1995/1/1,Northeast Atlantic
79,RAPiD-17-5P,5P-SUERC978-979,61.48,61.466,-19.54,-19.533,14.928,0.251,13.528,0.045,0.991,0.149,"Thornalley et al., 2010",-2303,,Northeast Atlantic
80,MD99-2331,MD99-2331,42.15,42.15,-9.68,-9.6833,14.955,0.186,13.81,0.08,1.25,0.141,"Waelbroeck et al., 2019",-2120,1999/1/1,Northeast Atlantic
81,NA87-22,NA87-22,55.5,55.5,-14.7,-14.5833,14.99,0.354,14.58,0.13,2.031,0.234,"Waelbroeck et al., 2019",-2161,,Northeast Atlantic
82,MD95-2002,MD95-2002,47.45,47.452,-8.53,-8.5338,15.037,0.188,14.2,0.11,1.598,0.169,"Waelbroeck et al., 2019",-2174,1995/1/1,Northeast Atlantic
83,MD01-2461,MD01-2461,51.75,51.7483,-12.92,-12.915,15.071,0.212,14.53,0.058,1.947,0.151,"Waelbroeck et al., 2019",-1153,2001/1/1,Northeast Atlantic
84,MD95-2002,MD95-2002,47.45,47.452,-8.53,-8.5338,15.091,0.202,14.42,0.12,1.784,0.184,"Waelbroeck et al., 2019",-2174,1995/1/1,Northeast Atlantic
85,RAPiD-10-1P,1P-SUERC192-193,62.98,62.9755,-17.59,-17.5895,15.097,0.202,13.479,0.047,0.537,0.144,"Thornalley et al., 2010",-1237,,Northeast Atlantic
86,MD01-2461,MD02-2461,51.75,51.7483,-12.92,-12.915,15.182,0.2,11.95,0.043,1.784,0.135,"Peck et al., 2006",-1153,2001/1/1,Northeast Atlantic
87,RAPiD-15-4P,4P-SUERC520-521,62.29,62.293,-17.13,-17.134,15.253,0.301,14.657,0.048,1.722,0.193,"Thornalley et al., 2010",-2133,,Northeast Atlantic
88,MD04-2845,MD04-2845,45.35,45.3477,-5.22,-5.2195,15.306,0.248,14.24,0.11,1.342,0.201,"Waelbroeck et al., 2019",-4175,,Northeast Atlantic
89,MD95-2002,MD95-2002,47.45,47.452,-8.53,-8.5338,15.369,0.281,14.57,0.13,1.647,0.23,"Waelbroeck et al., 2019",-2174,1995/1/1,Northeast Atlantic
90,DAPC2,DAPC2,58.97,59,-9.61,-9.6,15.379,0.2,13.41,0.13,0.494,0.192,"Knutz et al., 2007",-1709,,Northeast Atlantic
91,94-609,DSDP609,49.88,49.8778,-24.23,-24.2382,15.393,0.384,14.99,0.23,2.08,0.338,"Waelbroeck et al., 2019",-3884,1983/1/1,Northeast Atlantic
92,MD04-2829CQ,MD04-2829,58.9,58.9488,-9.6,-9.5717,15.4,0.2,14.468,0.15,1.546,0.204,this study,-1007,,Northeast Atlantic
93,MD04-2845,MD04-2845,45.35,45.3477,-5.22,-5.2195,15.533,0.316,14.45,0.11,1.465,0.246,"Waelbroeck et al., 2019",-4175,,Northeast Atlantic
94,RAPiD-17-5P,5P-OS-79029982-984,61.48,61.466,-19.54,-19.533,15.555,0.301,14.1,0.055,1.121,0.222,"Thornalley et al., 2010",-2303,,Northeast Atlantic
95,NA87-22,NA87-22,55.5,55.5,-14.7,-14.5833,15.598,0.444,15.66,0.12,2.654,0.324,"Waelbroeck et al., 2019",-2161,,Northeast Atlantic
96,MD95-2002,MD95-2002,47.45,47.452,-8.53,-8.5338,15.603,0.35,14.83,0.07,1.841,0.258,"Waelbroeck et al., 2019",-2174,1995/1/1,Northeast Atlantic
97,MD95-2002,MD95-2002,47.45,47.452,-8.53,-8.5338,15.778,0.391,14.81,0.2,1.683,0.339,"Waelbroeck et al., 2019",-2174,1995/1/1,Northeast Atlantic
98,RAPiD-10-1P,1P-SUERC248-249,62.98,62.9755,-17.59,-17.5895,15.85,0.5,14.95,0.049,0.629,0.346,"Thornalley et al., 2010",-1237,,Northeast Atlantic
99,MD99-2331,MD99-2331,42.15,42.15,-9.68,-9.6833,15.905,0.565,14.13,0.12,1.021,0.398,"Waelbroeck et al., 2019",-2120,1999/1/1,Northeast Atlantic
100,DAPC2,DAPC2,58.97,59,-9.61,-9.6,16.005,0.2,14.4,0.11,1.096,0.192,"Knutz et al., 2007",-1709,,Northeast Atlantic
101,RAPiD-17-5P,5P-SUERC986-987,61.48,61.466,-19.54,-19.533,16.039,0.301,15.087,0.05,1.758,0.222,"Thornalley et al., 2010",-2303,,Northeast Atlantic
102,MD99-2331,MD99-2331,42.15,42.15,-9.68,-9.6833,16.04,0.601,13.92,0.09,0.626,0.416,"Waelbroeck et al., 2019",-2120,1999/1/1,Northeast Atlantic
103,MD01-2461,MD01-2461,51.75,51.7483,-12.92,-12.915,16.111,0.526,15.118,0.064,1.775,0.367,"Waelbroeck et al., 2019",-1153,2001/1/1,Northeast Atlantic
104,DAPC2,DAPC2,58.97,59,-9.61,-9.6,16.148,0.2,14.9,0.11,1.486,0.193,"Knutz et al., 2007",-1709,,Northeast Atlantic
105,94-609,DSDP609,49.88,49.8778,-24.23,-24.2382,16.149,0.577,16.36,0.24,2.897,0.458,"Waelbroeck et al., 2019",-3884,1983/1/1,Northeast Atlantic
106,RAPiD-17-5P,5P-OS-79030988-989,61.48,61.466,-19.54,-19.533,16.317,0.301,15.3,0.065,1.682,0.225,"Thornalley et al., 2010",-2303,,Northeast Atlantic
107,DAPC2,DAPC2,58.97,59,-9.61,-9.6,16.41,0.2,15.33,0.1,1.692,0.18,"Knutz et al., 2007",-1709,,Northeast Atlantic
108,MD99-2331,MD99-2331,42.15,42.15,-9.68,-9.6833,16.437,0.702,13.93,0.08,0.159,0.503,"Waelbroeck et al., 2019",-2120,1999/1/1,Northeast Atlantic
109,NA87-22,NA87-22,55.5,55.5,-14.7,-14.5833,16.535,0.661,15.8,0.14,2.025,0.486,"Waelbroeck et al., 2019",-2161,,Northeast Atlantic
110,MD01-2461,MD02-2461,51.75,51.7483,-12.92,-12.915,16.547,0.2,14.53,0.058,1.4,0.128,"Peck et al., 2006",-1153,2001/1/1,Northeast Atlantic
111,DAPC2,DAPC2,58.97,59,-9.61,-9.6,16.563,0.2,15.39,0.13,1.659,0.19,"Knutz et al., 2007",-1709,,Northeast Atlantic
112,RAPiD-17-5P,5P-OS-79060990-993,61.48,61.466,-19.54,-19.533,16.728,0.351,15.75,0.06,1.916,0.25,"Thornalley et al., 2010",-2303,,Northeast Atlantic
113,MD99-2331,MD99-2331,42.15,42.15,-9.68,-9.6833,16.872,0.703,15.13,0.09,1.269,0.526,"Waelbroeck et al., 2019",-2120,1999/1/1,Northeast Atlantic
114,94-609,DSDP609,49.88,49.8778,-24.23,-24.2382,16.899,0.796,16.76,0.15,2.857,0.609,"Waelbroeck et al., 2019",-3884,1983/1/1,Northeast Atlantic
115,MD01-2461,MD01-2461,51.75,51.7483,-12.92,-12.915,16.97,0.787,15.518,0.063,1.656,0.586,"Waelbroeck et al., 2019",-1153,2001/1/1,Northeast Atlantic
116,DAPC2,DAPC2,58.97,59,-9.61,-9.6,16.996,0.2,15.4,0.17,1.406,0.22,"Knutz et al., 2007",-1709,,Northeast Atlantic
117,DAPC2,DAPC2,58.97,59,-9.61,-9.6,17.155,0.2,15.56,0.14,1.45,0.203,"Knutz et al., 2007",-1709,,Northeast Atlantic
118,NA87-22,NA87-22,55.5,55.5,-14.7,-14.5833,17.163,0.832,16.7,0.14,2.652,0.658,"Waelbroeck et al., 2019",-2161,,Northeast Atlantic
119,MD99-2331,MD99-2331,42.15,42.15,-9.68,-9.6833,17.264,0.582,15.06,0.09,0.9,0.448,"Waelbroeck et al., 2019",-2120,1999/1/1,Northeast Atlantic
120,MD95-2002,MD95-2002,47.45,47.452,-8.53,-8.5338,17.473,0.23,15.3,0.07,1.025,0.199,"Waelbroeck et al., 2019",-2174,1995/1/1,Northeast Atlantic
121,MD95-2002,MD95-2002,47.45,47.452,-8.53,-8.5338,17.519,0.234,15.28,0.16,0.909,0.25,"Waelbroeck et al., 2019",-2174,1995/1/1,Northeast Atlantic
122,MD01-2461,MD02-2461,51.75,51.7483,-12.92,-12.915,17.52,0.2,15.118,0.064,1.14,0.145,"Peck et al., 2006",-1153,2001/1/1,Northeast Atlantic
123,GIK23415-9,GIK23415-9,53.18,53.1783,-19.15,-19.145,17.651,1.013,15.81,0.1,1.624,0.817,"Waelbroeck et al., 2019",-2472,1991/1/1,Northeast Atlantic
