id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage,Latitude,Longitude,group
MD07-3076,20509,440,19060,130,16973,16938,16642,17018,17128,2046,2118,1981,2062,1967,-44.1,-14.2,Southern Ocean
TNO57-21,22064,200,19300,90,18134,18327,18291,18115,18193,1168,956,1079,1186,1175,-41.1,7.8,Southern Ocean
MD07-3076,22870,532,20580,130,18742,19220,20640,18886,18786,1718,1422,1021,1629,1800,-44.1,-14.2,Southern Ocean
MD07-3076,24722,463,21730,100,20577,20686,21103,20550,20580,1146,1053,1045,1184,1187,-44.1,-14.2,Southern Ocean
MD97-2121,25358,162,22322,85,20989,21285,21484,21075,21106,1308,1057,962,1259,1228,-40.4,-178,Southern Ocean
RR0503-79JPC,25650,40,22140,60,21226,21350,21612,21221,21220,916,844,639,916,920,-36.96,-176.59,Southern Ocean
BP_S794,25650,40,22020,80,21226,21350,21612,21221,21220,795,747,591,796,799,-36.31,-176.64,Southern Ocean
HT_S938,25650,40,21640,80,21226,21350,21612,21221,21220,415,367,211,416,419,-45.08,-179.5,Southern Ocean
S931,25650,40,22200,80,21226,21350,21612,21221,21220,975,927,771,976,979,-39.46,-176.42,Southern Ocean
RR0503-36JPC,25650,40,21770,70,21226,21350,21612,21221,21220,545,486,306,546,549,-39.94,-176.22,Southern Ocean
MD07-3076,26227,486,22440,160,21876,22137,23007,22013,21981,576,368,153,399,428,-44.1,-14.2,Southern Ocean
MD07-3076,27384,486,23390,110,23228,23262,23605,23224,23278,171,139,98,189,112,-44.1,-14.2,Southern Ocean
MD07-3076,28472,394,24520,200,23322,24195,24360,24213,24140,165,294,441,266,349,-44.1,-14.2,Southern Ocean
MD07-3076,29931,347,25970,130,25774,26002,25750,25554,25307,229,-45,-186,388,629,-44.1,-14.2,Southern Ocean
MD07-3076,30810,486,26550,250,25360,26568,26788,26476,26319,-219,10,53,2,183,-44.1,-14.2,Southern Ocean
MD07-3076,32106,625,28540,89,26335,27881,28792,28248,28402,422,680,446,303,149,-44.1,-14.2,Southern Ocean
MD07-3076,32639,625,28827,91,27574,28509,29959,28453,28426,426,354,-331,367,400,-44.1,-14.2,Southern Ocean
MD04-2829CQ,1300,200,1790,150,942,1292,1865,1414,1591,383,522,546,390,436,58.9,-9.6,Northeast Atlantic
DAPC2,3672,200,3740,55,3076,3396,3588,3426,3381,340,380,153,311,301,58.97,-9.61,Northeast Atlantic
94-609,5516,151,5420,80,4500,4886,5098,4763,4764,628,580,488,645,688,49.88,-24.23,Northeast Atlantic
DAPC2,9238,200,8590,90,7976,8272,8477,8251,8232,296,328,351,331,337,58.97,-9.61,Northeast Atlantic
RAPiD-15-4P,10297,100,9739,38,8984,9187,9224,9184,9200,646,564,490,561,537,62.29,-17.13,Northeast Atlantic
RAPiD-17-5P,10297,100,9728,39,8984,9187,9224,9184,9200,634,554,484,550,526,61.48,-19.54,Northeast Atlantic
RAPID-12-1K,10447,101,9752,35,9296,9231,9242,9251,9226,465,520,482,495,516,62.09,-17.82,Northeast Atlantic
RAPiD-10-1P,10510,250,9587,38,8900,9210,9186,9306,9217,204,374,379,277,359,62.98,-17.59,Northeast Atlantic
RAPiD-15-4P,10714,150,10198,40,9249,9429,9417,9476,9586,745,762,752,717,630,62.29,-17.13,Northeast Atlantic
