id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage
RAPiD-15-4P,12730,151,11900,45,10574.0,11030.0,11189.0,10760.0,10909.0,662.0,886.0,703.0,1138.0,963.0
94-609,12736,465,12380,120,10228.0,10938.0,11746.0,10877.0,10372.0,563.0,1472.0,1473.0,1563.0,1957.0
RAPiD-10-1P,12750,200,12512,39,10516.0,11050.0,11125.0,10854.0,11045.0,1184.0,1464.0,1478.0,1669.0,1497.0
DAPC2,12761,200,11380,110,10540.0,11052.0,11094.0,10883.0,11045.0,-74.0,338.0,257.0,550.0,405.0
RAPiD-15-4P,12799,101,12000,50,10636.0,10932.0,11083.0,10912.0,10912.0,835.0,1104.0,982.0,1091.0,1057.0
RAPiD-15-4P,12833,101,11811,42,10644.0,10943.0,11152.0,10941.0,10912.0,626.0,892.0,768.0,867.0,849.0
MD95-2007,12973,71,11471,62,10764.0,11021.0,11158.0,11044.0,11051.0,98.0,461.0,469.0,427.0,429.0
RAPiD-15-4P,13090,201,11816,39,10839.0,11320.0,11872.0,11164.0,11051.0,110.0,519.0,273.0,654.0,768.0
RAPiD-10-1P,13110,201,12650,50,10850.0,11335.0,11929.0,11216.0,11051.0,906.0,1342.0,1041.0,1446.0,1602.0
MD01-2461,13142,336,12551,46,10708.0,11208.0,11582.0,11266.0,11053.0,816.0,1354.0,1264.0,1279.0,1508.0
MD04-2829CQ,13200,200,11574,150,10963.0,11397.0,11987.0,11338.0,11051.0,-398.0,296.0,186.0,257.0,219.0
MD01-2461,13304,200,12551,46,11024.0,11416.0,11984.0,11431.0,11517.0,695.0,1172.0,922.0,1113.0,1036.0
NA87-22,13423,349,11690,120,10975.0,11484.0,11959.0,11557.0,11830.0,-488.0,242.0,92.0,113.0,156.0
RAPiD-10-1P,13430,250,12800,60,11085.0,11417.0,11703.0,11557.0,11520.0,850.0,1389.0,1371.0,1229.0,1273.0
MD95-2007,13536,140,12353,74,11240.0,11582.0,11921.0,11695.0,11827.0,278.0,784.0,907.0,660.0,596.0
RAPiD-17-5P,13550,300,12754,43,11090.0,11534.0,12009.0,11721.0,11829.0,654.0,1236.0,1019.0,1031.0,932.0
RAPiD-15-4P,13566,201,12100,45,11150.0,11459.0,11751.0,11732.0,11827.0,46.0,650.0,711.0,366.0,282.0
RAPiD-15-4P,13614,101,11793,49,11434.0,11679.0,11740.0,11789.0,11828.0,-252.0,116.0,137.0,13.0,-21.0
MD95-2007,13740,138,12630,100,11508.0,11793.0,12058.0,11857.0,11829.0,331.0,859.0,908.0,747.0,770.0
RAPiD-10-1P,13750,251,12900,60,11265.0,11589.0,12207.0,11871.0,12027.0,648.0,1348.0,1168.0,1007.0,874.0
NA87-22,13777,328,12920,120,11223.0,11676.0,12176.0,11922.0,12024.0,454.0,1286.0,1047.0,996.0,963.0
RAPiD-15-4P,13783,101,12155,40,11645.0,11908.0,12097.0,11909.0,12021.0,-52.0,263.0,191.0,234.0,316.0
94-609,13797,324,12750,220,11248.0,11696.0,12249.0,11969.0,12027.0,82.0,1150.0,1071.0,812.0,792.0
RAPiD-15-4P,13940,101,12560,39,11808.0,12022.0,12131.0,12038.0,12030.0,247.0,546.0,530.0,518.0,526.0
RAPiD-15-4P,13970,53,12636,43,11908.0,12086.0,12295.0,12036.0,12030.0,372.0,576.0,592.0,595.0,603.0
MD95-2007,14126,121,12790,120,11896.0,12060.0,12066.0,12247.0,12294.0,201.0,659.0,822.0,565.0,540.0
NA87-22,14134,261,12380,120,11428.0,11818.0,12315.0,12256.0,12401.0,-311.0,558.0,769.0,153.0,69.0
RAPiD-10-1P,14230,201,12700,55,11711.0,12024.0,12292.0,12309.0,12398.0,110.0,690.0,714.0,390.0,354.0
RAPiD-15-4P,14263,101,12487,43,12052.0,12202.0,12296.0,12324.0,12310.0,-20.0,290.0,319.0,157.0,161.0
RAPiD-17-5P,14286,251,12850,55,11656.0,12074.0,12501.0,12340.0,12400.0,152.0,797.0,705.0,512.0,465.0
MD03-2697,14423,441,12520,60,11381.0,12118.0,12878.0,12391.0,12404.0,-544.0,422.0,240.0,136.0,104.0
94-609,14428,161,13650,90,11994.0,12282.0,12406.0,12400.0,12404.0,898.0,1376.0,1370.0,1254.0,1249.0
94-609,14428,161,12740,140,11994.0,12282.0,12406.0,12400.0,12404.0,-90.0,466.0,515.0,346.0,343.0
MD04-2829CQ,14540,200,12686,150,11958.0,12336.0,12563.0,12420.0,12412.0,-282.0,348.0,483.0,266.0,265.0
RAPiD-10-1P,14550,102,12914,44,12172.0,12354.0,12370.0,12435.0,12436.0,272.0,562.0,583.0,477.0,478.0
MD99-2331,14726,117,13640,80,12250.0,12524.0,12500.0,12450.0,12468.0,840.0,1115.0,1004.0,1192.0,1191.0
RAPiD-17-5P,14789,251,13450,60,12022.0,12463.0,12670.0,12476.0,12470.0,415.0,990.0,1079.0,967.0,993.0
MD04-2845,14815,134,13890,100,12276.0,12555.0,12537.0,12475.0,12488.0,993.0,1322.0,1239.0,1414.0,1418.0
RAPiD-15-4P,14822,251,14281,44,12069.0,12512.0,12472.0,12486.0,12474.0,1246.0,1770.0,1761.0,1789.0,1819.0
MD95-2002,14838,146,13730,130,12257.0,12554.0,12547.0,12485.0,12491.0,746.0,1156.0,1095.0,1240.0,1246.0
RAPiD-17-5P,14928,251,13528,45,12160.0,12601.0,12786.0,12534.0,12486.0,436.0,932.0,940.0,985.0,1046.0
MD99-2331,14955,186,13810,80,12316.0,12666.0,12736.0,12552.0,12501.0,788.0,1156.0,1171.0,1249.0,1274.0
NA87-22,14990,354,14580,130,11949.0,12591.0,13270.0,12587.0,12481.0,1156.0,2040.0,1882.0,1976.0,2058.0
MD95-2002,15037,188,14200,110,12364.0,12694.0,12691.0,12618.0,12626.0,1079.0,1486.0,1540.0,1578.0,1592.0
MD01-2461,15071,212,14530,58,12373.0,12756.0,12854.0,12643.0,12628.0,1433.0,1788.0,1700.0,1883.0,1899.0
MD95-2002,15091,202,14420,120,12382.0,12744.0,12802.0,12658.0,12631.0,1229.0,1672.0,1720.0,1756.0,1767.0
RAPiD-10-1P,15097,202,13479,47,12384.0,12748.0,12839.0,12663.0,12631.0,402.0,736.0,725.0,813.0,828.0
MD01-2461,15182,200,11950,43,12421.0,12800.0,12735.0,12732.0,12739.0,-1183.0,-854.0,-819.0,-784.0,-775.0
RAPiD-15-4P,15253,301,14657,48,12310.0,12824.0,13145.0,12794.0,12905.0,1318.0,1843.0,1780.0,1861.0,1762.0
MD04-2845,15306,248,14240,110,12476.0,12906.0,12935.0,12840.0,12901.0,852.0,1338.0,1355.0,1411.0,1385.0
MD95-2002,15369,281,14570,130,12458.0,12936.0,13318.0,12882.0,12905.0,1073.0,1648.0,1757.0,1698.0,1684.0
DAPC2,15379,200,13410,130,12604.0,12978.0,13106.0,12886.0,12906.0,-4.0,510.0,379.0,532.0,524.0
94-609,15393,384,14990,230,12196.0,12849.0,12885.0,12897.0,12907.0,1098.0,2066.0,2209.0,2099.0,2099.0
MD04-2829CQ,15400,200,14468,150,12614.0,12988.0,13123.0,12896.0,12907.0,1000.0,1566.0,1437.0,1576.0,1573.0
MD04-2845,15533,316,14450,110,12530.0,13136.0,13800.0,12971.0,12915.0,768.0,1365.0,1254.0,1466.0,1491.0
RAPiD-17-5P,15555,301,14100,55,12562.0,13131.0,13752.0,12987.0,12915.0,510.0,996.0,792.0,1107.0,1165.0
NA87-22,15598,444,15660,120,12260.0,13092.0,14348.0,13028.0,12916.0,1704.0,2651.0,2334.0,2624.0,2671.0
MD95-2002,15603,350,14830,70,12497.0,13105.0,13314.0,13027.0,12918.0,1120.0,1722.0,1841.0,1799.0,1878.0
MD95-2002,15778,391,14810,200,12538.0,13167.0,13355.0,13169.0,13237.0,722.0,1590.0,1832.0,1647.0,1644.0
RAPiD-10-1P,15850,500,14950,49,12339.0,13288.0,14006.0,13225.0,13241.0,760.0,1676.0,1424.0,1725.0,1697.0
MD99-2331,15905,565,14130,120,12134.0,13262.0,14140.0,13263.0,13386.0,-373.0,878.0,980.0,866.0,833.0
DAPC2,16005,200,14400,110,12915.0,13313.0,13236.0,13316.0,13378.0,566.0,1082.0,992.0,1084.0,1082.0
RAPiD-17-5P,16039,301,15087,50,12911.0,13456.0,13935.0,13343.0,13387.0,1186.0,1662.0,1275.0,1744.0,1721.0
MD99-2331,16040,601,13920,90,12172.0,13421.0,14708.0,13359.0,13389.0,-751.0,522.0,421.0,561.0,572.0
MD01-2461,16111,526,15118,64,12461.0,13536.0,14155.0,13397.0,13391.0,605.0,1598.0,1463.0,1717.0,1741.0
DAPC2,16148,200,14900,110,13032.0,13446.0,13793.0,13407.0,13396.0,964.0,1478.0,1488.0,1487.0,1495.0
