id,UncalibratedMinRange_at_95.0%,UncalibratedMaxRange_at_95.0%,Mode,MidRange,Median
MD99-2331,17283.0,19578.0,18790.0,18430.0,19195.0
MD95-2002,17407.0,19557.0,18796.0,18482.0,19197.0
MD01-2461,17783.0,19523.0,19309.0,18653.0,19259.0
94-609,12227.0,21384.0,18784.0,16806.0,19395.0
MD99-2331,17367.0,19613.0,19350.0,18490.0,19273.0
MD99-2331,17418.0,19748.0,19365.0,18583.0,19349.0
DAPC2,18022.0,19613.0,19371.0,18818.0,19397.0
MD04-2829CQ,18088.0,19649.0,19398.0,18868.0,19443.0
MD99-2331,17618.0,20007.0,19412.0,18812.0,19463.0
MD04-2845,17797.0,19957.0,19507.0,18877.0,19468.0
MD95-2002,17691.0,20014.0,19424.0,18852.0,19478.0
MD99-2331,17677.0,20032.0,19504.0,18854.0,19487.0
MD99-2331,17823.0,20085.0,19505.0,18954.0,19543.0
MD99-2331,18039.0,20191.0,20007.0,19115.0,19669.0
NA87-22,16630.0,20584.0,20020.0,18607.0,19851.0
MD04-2845,18156.0,20252.0,20011.0,19204.0,19844.0
94-609,13224.0,21983.0,20023.0,17604.0,20026.0
DAPC2,18522.0,20271.0,20018.0,19396.0,19975.0
MD99-2331,18167.0,20414.0,20025.0,19290.0,20025.0
MD01-2461,18593.0,20385.0,20031.0,19489.0,20058.0
MD95-2002,17901.0,20515.0,20026.0,19208.0,20065.0
MD99-2331,18199.0,20480.0,20033.0,19340.0,20085.0
MD01-2461,17658.0,20621.0,20030.0,19140.0,20150.0
MD95-2002,18110.0,20642.0,20358.0,19376.0,20302.0
MD99-2331,18563.0,20628.0,20362.0,19596.0,20353.0
NA87-22,16724.0,21959.0,20583.0,19342.0,20625.0
GIK23415-9,16708.0,22000.0,20583.0,19354.0,20664.0
MD99-2331,18619.0,21171.0,20592.0,19895.0,20683.0
MD01-2461,19502.0,21074.0,20606.0,20288.0,20696.0
DAPC2,19602.0,21095.0,20611.0,20348.0,20720.0
MD01-2461,18516.0,21372.0,20591.0,19944.0,20754.0
MD04-2829CQ,19733.0,21167.0,21096.0,20450.0,20872.0
MD04-2845,19139.0,21911.0,21113.0,20525.0,21120.0
DAPC2,20117.0,21831.0,21121.0,20974.0,21228.0
MD01-2461,20194.0,21963.0,21131.0,21078.0,21365.0
MD01-2461,19068.0,22420.0,21116.0,20744.0,21508.0
MD04-2845,19255.0,22460.0,21972.0,20858.0,21884.0
DAPC2,20596.0,22483.0,21981.0,21540.0,22020.0
NA87-22,17406.0,23963.0,22415.0,20684.0,22316.0
MD99-2331,18656.0,23316.0,22416.0,20986.0,22342.0
MD99-2331,18656.0,23316.0,22416.0,20986.0,22342.0
RAPiD-17-5P,21208.0,23554.0,23265.0,22381.0,23106.0
MD99-2331,19093.0,24267.0,23282.0,21680.0,23209.0
NA87-22,18625.0,24374.0,23283.0,21500.0,23232.0
NA87-22,18625.0,24374.0,23283.0,21500.0,23232.0
MD01-2461,20687.0,23969.0,23278.0,22328.0,23186.0
MD04-2845,20864.0,24120.0,23287.0,22492.0,23371.0
MD04-2845,21196.0,24244.0,24031.0,22720.0,23913.0
MD04-2829CQ,22012.0,24128.0,24001.0,23070.0,23917.0
NA87-22,20414.0,24683.0,24054.0,22548.0,23991.0
MD99-2331,19194.0,25257.0,24068.0,22226.0,24057.0
MD95-2002,21664.0,24504.0,24065.0,23084.0,24059.0
MD04-2845,21685.0,24503.0,24065.0,23094.0,24065.0
94-609,21019.0,24727.0,24077.0,22873.0,24096.0
MD01-2461,21726.0,24817.0,24142.0,23272.0,24205.0
SU92-03,21637.0,25218.0,24165.0,23428.0,24311.0
MD04-2845,21813.0,25254.0,24686.0,23534.0,24501.0
MD99-2331,19868.0,26124.0,25273.0,22996.0,24710.0
MD04-2845,21915.0,25332.0,24701.0,23624.0,24714.0
MD04-2829CQ,23296.0,25237.0,24703.0,24266.0,24721.0
PS2644-5,21762.0,25412.0,25266.0,23587.0,24794.0
94-609,21682.0,26046.0,25274.0,23864.0,25201.0
MD99-2331,20140.0,26408.0,25276.0,23274.0,25235.0
MD95-2002,22307.0,25715.0,25272.0,24011.0,25219.0
MD01-2461,21808.0,26051.0,25276.0,23930.0,25232.0
MD01-2461,22179.0,26311.0,25286.0,24245.0,25339.0
MD99-2331,20452.0,27297.0,25284.0,23874.0,25418.0
PS2644-5,22219.0,26409.0,25291.0,24314.0,25503.0
MD99-2334,26.0,621.0,120.0,324.0,217.0
MD99-2334,2948.0,3551.0,3488.0,3250.0,3458.0
MD99-2334,7311.0,7726.0,7689.0,7518.0,7659.0
SHAK10-10K,9127.0,10238.0,10034.0,9682.0,10048.0
SHAK14-4G,9127.0,10238.0,10034.0,9682.0,10048.0
SHAK03-6K,9127.0,10238.0,10034.0,9682.0,10048.0
MD99-2334,9186.0,10316.0,10042.0,9751.0,10084.0
MD99-2334,9962.0,11303.0,11047.0,10632.0,10954.0
SHAK10-10K,9967.0,11341.0,11047.0,10654.0,10980.0
SHAK14-4G,9967.0,11341.0,11047.0,10654.0,10980.0
SHAK03-6K,9967.0,11341.0,11047.0,10654.0,10980.0
SHAK05-3K,9967.0,11341.0,11047.0,10654.0,10980.0
MD99-2334,10872.0,12394.0,12029.0,11633.0,12111.0
SHAK14-4G,10872.0,12394.0,12029.0,11633.0,12111.0
SHAK03-6K,10872.0,12394.0,12029.0,11633.0,12111.0
SHAK05-3K,10872.0,12394.0,12029.0,11633.0,12111.0
MD99-2334,11475.0,12578.0,12453.0,12026.0,12441.0
SHAK14-4G,11475.0,12578.0,12453.0,12026.0,12441.0
SHAK03-6K,11475.0,12578.0,12453.0,12026.0,12441.0
SHAK05-3K,11475.0,12578.0,12453.0,12026.0,12441.0
MD99-2334,12217.0,13504.0,13254.0,12860.0,13275.0
SHAK10-10K,12217.0,13504.0,13254.0,12860.0,13275.0
SHAK14-4G,12217.0,13504.0,13254.0,12860.0,13275.0
SHAK03-6K,12217.0,13504.0,13254.0,12860.0,13275.0
SHAK05-3K,12217.0,13504.0,13254.0,12860.0,13275.0
MD99-2334,13329.0,14522.0,14451.0,13926.0,14367.0
SHAK10-10K,13329.0,14522.0,14451.0,13926.0,14367.0
SHAK14-4G,13329.0,14522.0,14451.0,13926.0,14367.0
SHAK03-6K,13329.0,14522.0,14451.0,13926.0,14367.0
MD99-2334,15675.0,17097.0,16715.0,16386.0,16750.0
SHAK10-10K,15675.0,17097.0,16715.0,16386.0,16750.0
SHAK14-4G,15675.0,17097.0,16715.0,16386.0,16750.0
SHAK03-6K,15675.0,17097.0,16715.0,16386.0,16750.0
SHAK05-3K,15675.0,17097.0,16715.0,16386.0,16750.0
MD99-2334,16929.0,18172.0,17822.0,17550.0,17872.0
SHAK14-4G,16929.0,18172.0,17822.0,17550.0,17872.0
SHAK03-6K,16929.0,18172.0,17822.0,17550.0,17872.0
SHAK05-3K,16929.0,18172.0,17822.0,17550.0,17872.0
MD99-2334,18098.0,19657.0,19406.0,18878.0,19448.0
SHAK03-6K,18098.0,19657.0,19406.0,18878.0,19448.0
MD99-2334,19029.0,20498.0,20344.0,19764.0,20285.0
SHAK03-6K,19029.0,20498.0,20344.0,19764.0,20285.0
MD99-2334,20180.0,21948.0,21131.0,21064.0,21341.0
