id,Reservoir_derived_14C_age,Reservoir_derived_14C_error,Calendar_age,Calendar_age_error
MD01-2461,20931,129,24175,411
MD95-2002,20600,80,24318,351
MD99-2331,23080,190,24417,273
NA87-22,21420,230,24837,742
GIK23415-9,21310,200,24894,755
MD99-2331,24140,210,24966,346
MD01-2461,20193,118,24988,200
DAPC2,21860,190,25015,200
MD01-2461,21565,128,25041,419
MD04-2829CQ,22292,150,25172,200
MD04-2845,22260,160,25466,338
DAPC2,23660,210,25647,200
MD01-2461,20931,129,25743,200
MD01-2461,22234,147,25821,459
MD04-2845,22550,170,26011,385
DAPC2,23950,220,26271,200
NA87-22,23780,270,26421,884
MD99-2331,25880,250,26512,601
MD99-2331,25140,230,26512,601
RAPiD-17-5P,23860,107,27310,255
MD99-2331,26310,260,27331,708
NA87-22,24730,310,27353,752
NA87-22,23620,300,27353,752
MD01-2461,24074,168,27354,363
MD04-2845,24450,210,27620,384
MD04-2845,25080,230,27907,360
MD04-2829CQ,24688,150,27922,200
NA87-22,26350,330,28000,536
MD99-2331,24390,210,28103,763
MD95-2002,24410,250,28165,343
MD04-2845,25030,230,28180,334
94-609,25660,440,28240,436
MD01-2461,25312,195,28462,371
SU92-03,24800,120,28593,428
MD04-2845,25630,240,28727,389
MD99-2331,25870,250,28894,800
MD04-2845,25270,240,28957,399
MD04-2829CQ,26045,150,28982,200
PS2644-5,25700,300,29050,462
94-609,26570,310,29288,539
MD99-2331,26050,280,29324,818
MD95-2002,25820,230,29341,399
MD01-2461,25863,208,29363,499
MD01-2461,25928,209,29696,479
MD99-2331,26370,260,29769,820
PS2644-5,27550,910,29888,503
MD99-2334,723,150,251,200
MD99-2334,3950,60,3707,81
MD99-2334,8139,37,8421,28
SHAK10-10K,10811,150,11590,200
SHAK14-4G,10720,150,11590,200
SHAK03-6K,10777,150,11590,200
MD99-2334,10248,150,11690,200
MD99-2334,11110,150,12840,200
SHAK10-10K,11554,150,12868,200
SHAK14-4G,11514,150,12868,200
SHAK03-6K,11547,150,12868,200
SHAK05-3K,11344,150,12868,200
MD99-2334,12505,150,14034,200
SHAK14-4G,12567,150,14034,200
SHAK03-6K,12744,150,14034,200
SHAK05-3K,12382,150,14034,200
MD99-2334,12995,150,14649,200
SHAK14-4G,13264,150,14649,200
SHAK03-6K,13238,150,14649,200
SHAK05-3K,12988,150,14649,200
