id,Calendar_age,Calendar_age_error,Reservoir_Min_Range_at_95.0%,Reservoir_Max_Range_at_95.0%,Mode,MidRange,Median
MD01-2461,12396,117,-305.0,726.0,652.0,210.0,631.0
MD95-2007,12430,106,-38.0,1073.0,962.0,518.0,935.0
RAPiD-10-1P,12470,101,1077.0,2068.0,1995.0,1572.0,1938.0
MD95-2007,12482,104,-153.0,1012.0,874.0,430.0,844.0
MD95-2007,12552,104,-161.0,1204.0,990.0,522.0,987.0
RAPiD-15-4P,12556,200,-357.0,1434.0,1355.0,538.0,1229.0
MD01-2461,12590,200,-1049.0,699.0,647.0,-175.0,482.0
MD95-2007,12596,98,-334.0,949.0,759.0,308.0,747.0
RAPiD-10-1P,12600,101,1039.0,2209.0,2049.0,1624.0,2032.0
RAPiD-15-4P,12730,151,-147.0,1472.0,963.0,662.0,1138.0
94-609,12736,465,-1049.0,2175.0,1957.0,563.0,1563.0
RAPiD-10-1P,12750,200,248.0,2120.0,1497.0,1184.0,1669.0
DAPC2,12761,200,-1167.0,1018.0,405.0,-74.0,550.0
RAPiD-15-4P,12799,101,228.0,1442.0,1057.0,835.0,1091.0
RAPiD-15-4P,12833,101,47.0,1206.0,849.0,626.0,867.0
MD95-2007,12973,71,-363.0,558.0,429.0,98.0,427.0
RAPiD-15-4P,13090,201,-739.0,960.0,768.0,110.0,654.0
RAPiD-10-1P,13110,201,40.0,1773.0,1602.0,906.0,1446.0
MD01-2461,13142,336,-370.0,2002.0,1508.0,816.0,1279.0
MD04-2829CQ,13200,200,-1504.0,707.0,219.0,-398.0,257.0
MD01-2461,13304,200,-133.0,1523.0,1036.0,695.0,1113.0
NA87-22,13423,349,-1754.0,779.0,156.0,-488.0,113.0
RAPiD-10-1P,13430,250,-36.0,1735.0,1273.0,850.0,1229.0
MD95-2007,13536,140,-395.0,951.0,596.0,278.0,660.0
RAPiD-17-5P,13550,300,-340.0,1648.0,932.0,654.0,1031.0
RAPiD-15-4P,13566,201,-655.0,747.0,282.0,46.0,366.0
RAPiD-15-4P,13614,101,-742.0,237.0,-21.0,-252.0,13.0
MD95-2007,13740,138,-362.0,1024.0,770.0,331.0,747.0
RAPiD-10-1P,13750,251,-144.0,1439.0,874.0,648.0,1007.0
NA87-22,13777,328,-674.0,1582.0,963.0,454.0,996.0
RAPiD-15-4P,13783,101,-507.0,404.0,316.0,-52.0,234.0
94-609,13797,324,-1295.0,1458.0,792.0,82.0,812.0
RAPiD-15-4P,13940,101,-179.0,673.0,526.0,247.0,518.0
RAPiD-15-4P,13970,53,46.0,699.0,603.0,372.0,595.0
MD95-2007,14126,121,-462.0,864.0,540.0,201.0,565.0
NA87-22,14134,261,-1203.0,581.0,69.0,-311.0,153.0
RAPiD-10-1P,14230,201,-491.0,712.0,354.0,110.0,390.0
RAPiD-15-4P,14263,101,-336.0,296.0,161.0,-20.0,157.0
RAPiD-17-5P,14286,251,-568.0,871.0,465.0,152.0,512.0
MD03-2697,14423,441,-1766.0,677.0,104.0,-544.0,136.0
94-609,14428,161,344.0,1453.0,1249.0,898.0,1254.0
94-609,14428,161,-792.0,611.0,343.0,-90.0,346.0
MD04-2829CQ,14540,200,-1110.0,546.0,265.0,-282.0,266.0
RAPiD-10-1P,14550,102,-38.0,581.0,478.0,272.0,477.0
MD99-2331,14726,117,321.0,1360.0,1191.0,840.0,1192.0
RAPiD-17-5P,14789,251,-312.0,1142.0,993.0,415.0,967.0
MD04-2845,14815,134,363.0,1623.0,1418.0,993.0,1414.0
RAPiD-15-4P,14822,251,539.0,1952.0,1819.0,1246.0,1789.0
MD95-2002,14838,146,-3.0,1495.0,1246.0,746.0,1240.0
RAPiD-17-5P,14928,251,-307.0,1179.0,1046.0,436.0,985.0
MD99-2331,14955,186,100.0,1476.0,1274.0,788.0,1249.0
NA87-22,14990,354,-9.0,2322.0,2058.0,1156.0,1976.0
MD95-2002,15037,188,297.0,1861.0,1592.0,1079.0,1578.0
MD01-2461,15071,212,727.0,2139.0,1899.0,1433.0,1883.0
MD95-2002,15091,202,390.0,2068.0,1767.0,1229.0,1756.0
RAPiD-10-1P,15097,202,-259.0,1064.0,828.0,402.0,813.0
MD01-2461,15182,200,-1846.0,-520.0,-775.0,-1183.0,-784.0
RAPiD-15-4P,15253,301,414.0,2223.0,1762.0,1318.0,1861.0
MD04-2845,15306,248,-69.0,1773.0,1385.0,852.0,1411.0
MD95-2002,15369,281,42.0,2104.0,1684.0,1073.0,1698.0
